Move,Type,Category,Power Points,Base Power,Accuracy,Effects,Critical Rate,Speed Priority
Payback,dark,physical,10,50,100,Doubles damage if user moves after target,0.0417,0
Peck,flying,physical,35,35,100,No effect.,0.0417,0
Perish Song,normal,other,5,0,101,All Pokémon on the field faint in 3 turns.,0.0,0
Petal Blizzard,grass,physical,15,90,100,No effect.,0.0417,0
Petal Dance,grass,special,10,120,100,User uses the same Attack for 2-3 turns then becomes confused.,0.0417,0
Phantom Force,ghost,physical,10,90,100,"The user is protected the first turn, Attacks the second turn. Hits through Protect",0.0417,0
Pin Missile,bug,physical,20,25,95,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,0.0417,0
Play Rough,fairy,physical,10,90,90,May lower opponent's Attack one stage.,0.0417,0
Pluck,flying,physical,20,60,100,Removes target's Berry and uses its effect,0.0417,0
Poison Fang,poison,physical,15,50,100,May induce severe poison.,0.0417,0
Poison Gas,poison,other,40,0,90,Induces Poison.,0.0,0
Poison Jab,poison,physical,20,80,100,May induce poison.,0.0417,0
Poison Powder,poison,other,35,0,75,Induces Poison.,0.0,0
Poison Sting,poison,physical,35,15,100,May induce poison.,0.0417,0
Poison Tail,poison,physical,25,50,100,Has high critical hit ratio. May induce poison.,0.125,0
Pollen Puff,bug,special,15,90,100,Heals if used on an ally.,0.0417,0
Population Bomb,normal,physical,10,20,90,No effect.,0.0417,0
Pounce,bug,physical,20,50,100,Lowers opponent's Speed one stage.,0.0417,0
Powder Snow,ice,special,25,40,100,May induce freeze.,0.0417,0
Power Gem,rock,special,20,80,100,No effect.,0.0417,0
Power Swap,psychic,other,10,0,101,Switches user's Attack & SP. ATT stat increases with opponent.,0.0,0
Power Trip,dark,physical,10,20,100,Increases damage by 100% for each stage a stat has been increased by the user,0.0417,0
Power Whip,grass,physical,10,120,85,No effect.,0.0417,0
Present,normal,physical,15,1,90,"This move has got four different possibilities for outcomes
40% - Base Power of 40
30% - Base Power of 80
20% - Heal 25% of target's max HP
10% - Base Power of 120.",0.0417,0
Protect,normal,other,10,0,101,"If used in succession with other protection moves, its success rate is cut to 33% of what it was, working cumulatively the more it's used. This will prevent damage and effects of almost all possible attacks that would be inflicted upon the user.There are a few moves and abilities which do break through this move The following moves are also unaffected by Protect & Detect: Doom Desire (delayed damage only), Future Sight (delayed damage only), Feint, Hyperspace Fury, Hyperspace Hole, Imprison, Perish Song, Phantom Force, Psych Up, Shadow Force, Transform",0.0,4
Psybeam,psychic,special,20,65,100,May induce Confusion,0.0417,0
Psychic,psychic,special,10,90,100,May lower opponent's Special Defense one stage.,0.0417,0
Psychic Fangs,psychic,physical,10,85,100,"This move will remove any Reflect, Light Screen, Aurora Veil or that is in play on the opponent's team.",0.0417,0
Psychic Terrain,psychic,other,10,0,101,"This move creates a terrain that helps Pokémon on the ground for 5 turns. It prevents all Pokémon on the ground from using attacks or being targeted by attacks with increased priority from opposing Pokémon, and boosts the power of Psychic-type moves on grounded Pokémon by 30%",0.0,0
Psycho Cut,psychic,physical,20,70,100,Has an increased Critical Hit ratio,0.125,0
Psyshock,psychic,special,10,80,100,Inflicts physical damage,0.0417,0
Quash,dark,other,15,0,100,Target Pokémon moves last in the turn,0.0,0
Quick Attack,normal,physical,30,40,100,Has increased Speed Priority,0.0417,1
Quick Guard,fighting,other,15,0,101,"Unlike Protect, which works on all moves, Quick Guard prevents all effects from moves with a heightened Speed Priority. In addition to that, it also protects all the player's Pokémon on the field rather than just the user.However, even though it blocks all moves with a Speed Priority of 1 or higher. In addition to that, the move Feint will hit through this move, as it does with Protect and Detect.",0.0,3
Rage Fist,ghost,physical,10,50,100,Increases base power by 50 based on how many times the user has been hit by damage from other Pokémon's attacks,0.0417,0
Rage Powder,bug,other,20,0,101,Draws Attacks towards the user rather than ally,0.0,2
Rain Dance,water,other,5,0,101,Causes Rain for 5 turns.,0.0,0
Rapid Spin,normal,physical,40,50,100,User removes trapping moves. Increased Speed by 1 stage.,0.0417,0
Razor Leaf,grass,physical,25,55,95,Has an increased Critical Hit ratio,0.125,0
Recover,normal,other,5,0,101,User recovers half the maximum HP.,0.0,0
Reflect,psychic,other,20,0,101,Halves Attack damage inflicted on the user's side of the field,0.0,0
Reflect Type,normal,other,15,0,101,Makes opponent's type match user,0.0,0
Rest,psychic,other,5,0,101,"User restores health, then sleeps.",0.0,0
Retaliate,normal,physical,5,70,100,"If a team-mate has been knocked out in the turn before this Pokémon moves, the power is increased by 100%.",0.0417,0
Reversal,fighting,physical,15,1,100,Inflicts more damage when the user's HP is down.,0.0417,0
Revival Blessing,normal,other,1,0,101,Revives a fainted Pokémon up to 50% maximum Hit Points,0.0,0
Roar,normal,other,20,0,101,Ends wild battles. ,0.0,-6
Rock Blast,rock,physical,10,25,90,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,0.0417,0
Rock Polish,rock,other,20,0,101,Raises user's Speed two stages.,0.0,0
Rock Slide,rock,physical,10,75,90,May cause opponent to flinch.,0.0417,0
Rock Smash,fighting,physical,15,40,100,May lower opponent's Defense one stage.,0.0417,0
Rock Throw,rock,physical,15,50,90,No effect.,0.0417,0
Rock Tomb,rock,physical,15,60,95,May lower opponent's Speed one stage.,0.0417,0
Rollout,rock,physical,20,30,90,Uses the same move for 5 turns; move's power raises if it hits.,0.0417,0
Roost,flying,other,5,0,101,Heals up to 50% of maximum Hit Points. Flying-type Pokémon are no longer Flying-type for the rest of the turn.,0.0,0
Round,normal,special,15,60,100,"This move increases in power when used by different Pokémon on your side in a single turn. When Round is used by multiple Pokémon, the Pokémon will immediately use it, regardless of Speed or Priority. Each consecutive use of this move has the power doubled up until it hits the maximum of 240.",0.0417,0
Ruination,dark,physical,10,1,90,Cuts the opponent's Hit Points by 50% of the current value,0.0417,0
Sacred Sword,fighting,physical,15,90,100,Ignores stat changes,0.0417,0
Safeguard,normal,other,25,0,101,Prevents all status conditions for five turns,0.0,0
Salt Cure,rock,physical,15,40,100,Inflicts damage on the target at the end of each turn. Doubles damage inflicted on Water or Steel-type opponents,0.0417,0
Sand Attack,ground,other,15,0,100,Lowers opponent's Accuracy one stage.,0.0,0
Sand Tomb,ground,physical,15,35,85,Traps opponent.,0.0417,0
Sandstorm,rock,other,10,0,101,Causes a Sandstorm for 5 turns.,0.0,0
Scale Shot,dragon,physical,20,25,90,Increases Speed by 1 stage. Lowers Defense by 1 Stage,0.0417,0
Scary Face,normal,other,10,0,100,Lowers opponent's Speed two stages.,0.0,0
Scratch,normal,physical,35,40,100,No effect.,0.0417,0
Screech,normal,other,40,0,85,Lowers opponent's Defense two stages.,0.0,0
Seed Bomb,grass,physical,15,80,100,No effect.,0.0417,0
Seismic Toss,fighting,physical,20,1,100,Inflicts damage equal to the user's level.,0.0417,0
Self-Destruct,normal,physical,5,200,100,User faints,0.0417,0
Shadow Ball,ghost,special,15,80,100,May lower opponent's Special Defense one stage.,0.0417,0
Shadow Claw,ghost,physical,15,70,100,Has an increased Critical Hit ratio,0.125,0
Shadow Punch,ghost,physical,20,60,101,Cannot miss.,0.0417,0
Shadow Sneak,ghost,physical,30,40,100,Has increased Speed Priority,0.0417,1
Shed Tail,normal,other,10,0,101,Creates a decoy using 1/4 of the user's maximum HP. Switches out to another Pokémon in the part with the Substitute still out,0.0,0
Sheer Cold,ice,special,5,1,30,"This move has its accuracy lowered when used by non-Ice-type Pokémon;, and cannot damage Ice-type Pokémon",0.0417,0
Shift Gear,steel,other,10,0,101,Raises user's Attack one stage. Raises user's Speed two stages.,0.0,0
Shock Wave,electric,special,20,60,101,Cannot miss.,0.0417,0
Silk Trap,bug,other,10,0,101,Lowers opponent's Attack one stage if hit by physical contact. Fails on successive uses,0.0,4
Sing,normal,other,15,0,55,Induces sleep.,0.0,0
Skill Swap,psychic,other,10,0,101,"This move will switch the users ability to the ability of the target Pokémon if that Pokémon does not have the Illusion, Wonder Guard, Stance Change, Multitype, RKS System, Zen Mode, Battle Bond, Comatores, Gulp Missile, DIsguise, Hunger Switch, Neutralizing Gas, Shields Down, Schooling, Power Construct, As One - Unnerve Chilling Neigh & As One - Unnerve Grim Neigh abilities",0.0,0
Skitter Smack,bug,physical,10,70,90,Lowers opponent's Special Attack one stage,0.0417,0
Sky Attack,flying,physical,5,140,90,May cause opponent to flinch.,0.125,0
Slack Off,normal,other,5,0,101,User recovers half the maximum HP.,0.0,0
Slam,normal,physical,20,80,75,No effect.,0.0417,0
Slash,normal,physical,20,70,100,Has an increased Critical Hit ratio,0.125,0
Sleep Talk,normal,other,10,0,101,Uses an own random move while asleep.,0.0,0
Sludge,poison,special,20,65,100,May induce poison.,0.0417,0
Sludge Bomb,poison,special,10,90,100,May induce poison.,0.0417,0
Sludge Wave,poison,special,10,95,100,May induce poison.,0.0417,0
Smack Down,rock,physical,15,50,100,"In addition to removing Ground-type immunities, this move can also affect Pokémon that have flown up into the air using Fly or Bounce. Doing so cancels the move. It can hit Pokémon using or affected by Sky Drop but doesn't cancel the move.",0.0417,0
Smart Strike,steel,physical,10,70,101,Cannot miss.,0.0417,0
Smog,poison,special,20,30,70,May induce poison.,0.0417,0
Snarl,dark,special,15,55,95,May lower opponent's Special Attack one stage.,0.0417,0
Snowscape,ice,other,10,0,101,Causes Snowstorm for 5 rounds.,0.0,0
Soak,water,other,20,0,100,Changes opponent's type to Water-type.,0.0,0
Solar Beam,grass,special,10,120,100,"Charges for the first turn, damages on the second. If Sunny Day is in effect, the charge and attack is in the same turn.",0.0417,0
Solar Blade,grass,physical,10,125,100,"Charges for the first turn, damages on the second. If Sunny Day is in effect, the charge and attack is in the same turn.",0.0417,0
Spark,electric,physical,20,65,100,May induce paralysis.,0.0417,0
Speed Swap,psychic,other,10,0,101,Switches Speed stat with target,0.0,0
Spicy Extract,grass,other,15,0,101,Raises the target's Attack stat by two stages. Lowers the target's Defense by two stages,0.0,0
Spikes,ground,other,20,0,101,The damage that is given through Spikes is determined by the amount of layers that you place.,0.0,0
Spiky Shield,grass,other,10,0,101,Damages by 1/8th Maximum Hit Points if hit by physical contact.,0.0,4
Spin Out,steel,physical,5,100,100,Lowers opponent's Speed two stages.,0.0417,0
Spirit Break,fairy,physical,15,75,100,Lowers opponent's Special Attack one stage,0.0417,0
Spit Up,normal,special,10,1,100,"This move has four tiers of damage; 3 are stockpiled, 1 isn't. Unfortunately the one that isn't is that the attack doesn't do anything if you haven't stockpiled so you have to make sure to Stockpile first.If you use Spit Up after 1 Stockpile, the Base Power will be 100If you use Spit Up after 2 Stockpiles, the Base Power will be 200If you use Spit Up after 3 Stockpiles, the Base Power will be 300",0.0417,0
Spite,ghost,other,10,0,100,Opponent's last move loses 4 PP.,0.0,0
Splash,normal,other,40,0,101,No effect.,0.0,0
Spore,grass,other,15,0,100,Induces sleep.,0.0,0
Stealth Rock,rock,other,20,0,101,"Stealth Rock's damaging methods are rather unique. Instead of doing a set amount of damage for the amount of layers given, it instead is based on the opponent's type. The attack is a Rock Type attack so the damage is based upon the opponent's Weakness to it.",0.0,0
Steel Beam,steel,special,5,140,95,User loses half their Maximum Hit Points. This effect is ignored by Magic Guard.,0.0417,0
Steel Roller,steel,physical,5,130,100,Destroys Terrains,0.0417,0
Sticky Web,bug,other,20,0,101,Sets a web that lower the opponent's Speed by one stage upon switching. ,0.0,0
Stockpile,normal,other,20,0,101,User stockpiles power for up to 3 turns. Raises Defense & Special Defense one stage until Stockpile is released.,0.0,0
Stomp,normal,physical,20,65,100,May cause opponent to flinch.,0.0417,0
Stomping Tantrum,ground,physical,10,75,100,Doubles damage if last move failed,0.0417,0
Stone Edge,rock,physical,5,100,80,Has an increased Critical Hit ratio,0.125,0
Stored Power,psychic,special,10,20,100,This attack's power starts off with 20 Base Power but increases by 20 Base Power for each stat increase used by the Pokémon. Can get a maximum Base Power of 860. Moves with stat lowering effects do not affect this move's power.,0.0417,0
Strength Sap,grass,other,10,0,100,Heals user of Hit Points equal to target's Attack stat. Lowers target's Attack by 1 stage,0.0,0
String Shot,bug,other,40,0,95,Lowers opponent's Speed two stages.,0.0,0
Struggle Bug,bug,special,20,50,100,May lower opponent's Special Attack one stage.,0.0417,0
Stuff Cheeks,normal,other,10,0,101,Raises user's Defense two stages.,0.0,0
Stun Spore,grass,other,30,0,75,Induces Paralysis,0.0,0
Substitute,normal,other,10,0,101,This move creates a Substitute on the field using 1/4 of its maximum Hit Points. This substitute will receive all damage from attacks until its Hit Points are depleted. There are several moves that hit beyond the substitute.,0.0,0
Sucker Punch,dark,physical,5,70,100,Damages the opponent only if they are intending to use a damaging move. Fails if used after the opponent moves.,0.0417,1
Sunny Day,fire,other,5,0,101,Causes Sunshine for 5 turns,0.0,0
Super Fang,normal,physical,10,1,90,Cuts the opponent's Hit Points by 50% of the current value,0.0417,0
Superpower,fighting,physical,5,120,100,Lowers user's Attack and Defense one stage.,0.0417,0
Supersonic,normal,other,20,0,55,Induces Confusion,0.0,0
Surf,water,special,15,90,100,May damage diving opponents,0.0417,0
Swagger,normal,other,15,0,85,Induces Confusion. Raises opponent's Attack two stages.,0.0,0
Swallow,normal,other,10,0,101,"This move has four tiers of healing; 3 are stockpiled, 1 isn't. Unfortunately the one that isn't is that the attack doesn't do anything if you haven't stockpiled so you have to make sure to Stockpile first.If you use Swallow after 1 Stockpile, you will recover 1/4 of your Max HPIf you use Swallow after 2 Stockpiles, you will recover 1/2 of your Max HPIf you use Swallow after 3 Stockpiles, you will recover all of your Max HP",0.0,0
Sweet Kiss,fairy,other,10,0,75,Induces Confusion,0.0,0
Sweet Scent,normal,other,20,0,100,Lowers opponent's Evasion two stages.,0.0,0
Swift,normal,special,20,60,101,Cannot miss.,0.0417,0
Switcheroo,dark,other,10,0,100,Switches items with the opponent,0.0,0
Swords Dance,normal,other,20,0,101,Raises user's Attack two stages.,0.0,0
Synthesis,grass,other,5,0,101,"This move recovers its HP depending upon the weather. If no weather is in effect, it heals the user by 50% of their maximum Hit Points. If Sunny Day is in effect, this move heals the user by 66.66% of its maximum Hit Points and if Rain Dance, Hail or Sandstorm is in effect, this move heals the user by 25% of their maximum Hit Points",0.0,0
Tackle,normal,physical,35,40,100,No effect.,0.0417,0
Tail Whip,normal,other,30,0,100,Lowers opponent's Defense one stage.,0.0,0
Tailwind,flying,other,15,0,101,Increases Speed of all user's Pokémon for four turns by two stages.,0.0,0
Take Down,normal,physical,20,90,85,User takes recoil damage equal to 25% of the damage inflicted.,0.0417,0
Taunt,dark,other,20,0,100,The opponent can only use damaging moves for three turns,0.0,0
Tera Blast,normal,physical/special,10,80,100,Changes type if the user is Terastallized. Damage inflicted depends on user's Attack or Special Attack. Highest stat used to determine if move is Physical or Special. ,0.0417,0
Terrain Pulse,normal,special,10,50,100,Becomes the type of Terrain and doubles in power,0.0417,0
Thief,dark,physical,25,60,100,May steal opponent's item (temporarily in trainer battles).,0.0417,0
Thrash,normal,physical,10,120,100,User uses the same Attack for 2-3 turns then becomes confused.,0.0417,0
Throat Chop,dark,physical,15,80,100,Prevents target from using Sound moves for 2 turns,0.0417,0
Thunder,electric,special,10,110,70,"This move has different accuracies depending upon the weather. In Rain, it has an accuracy of 100%. In Sunshine, it has an accuracy of 50%. In all other weather states, it has an accuracy of 70%.",0.0417,0
Thunder Fang,electric,physical,15,65,95,May PARALYZE opponent or cause opponent to flinch.,0.0417,0
Thunder Punch,electric,physical,15,75,100,May induce paralysis.,0.0417,0
Thunder Shock,electric,special,30,40,100,May induce paralysis.,0.0417,0
Thunder Wave,electric,other,20,0,90,Induces Paralysis,0.0,0
Thunderbolt,electric,special,15,90,100,May induce paralysis.,0.0417,0
Tickle,normal,other,20,0,100,Lowers opponent's Attack and Defense one stage.,0.0,0
Tidy Up,normal,other,10,0,101,User removes trapping moves. Increased Attack and Speed by 1 stage.,0.0,0
Torch Song,fire,special,10,80,100,Raises user's Special Attack one stage,0.0417,0
Torment,dark,other,15,0,100,Opponent cannot use the same move in a row.,0.0,0
Toxic,poison,other,10,0,90,Induces severe poison.,0.0,0
Toxic Spikes,poison,other,20,0,101,"Toxic Spikes is the only Entry Hazard attack that does not afflict damage on the Pokémon straight away. Instead, it inflicts them with the Poison Condition. It does not affect Pokémon of the Flying Type, Steel Type, Poison Type or Pokémon with the Levitate Ability
The damage that is given through Spikes is determined by the amount of layers that you place.",0.0,0
Trailblaze,grass,physical,20,50,100,Raises user's Speed one stage.,0.0417,0
Tri Attack,normal,special,10,80,100,"May induce burn, freeze or paralysis.",0.0417,0
Trick,psychic,other,10,0,100,Switches items with the opponent,0.0,0
Trick Room,psychic,other,5,0,101,Inverts the turn order in each Speed Priority bracked for 5 turns.,0.0,-7
Triple Dive,water,physical,10,30,95,No effect.,0.0417,0
Twin Beam,psychic,special,10,40,100,No effect.,0.0417,0
U-turn,bug,physical,20,70,100,Pokémon switches out from battle,0.0417,0
Uproar,normal,special,10,90,100,Hits for 3 turns. No Pokémon can be Asleep during that time.,0.0417,0
Venoshock,poison,special,10,65,100,Doubles damage inflicted if target is Poisoned,0.0417,0
Vise Grip,normal,physical,30,55,100,No effect.,0.0417,0
Volt Switch,electric,special,20,70,100,Pokémon switches out from battle,0.0417,0
Water Gun,water,special,25,40,100,No effect.,0.0417,0
Water Pledge,water,special,10,80,100,"This move, if used in Double/Triple Battles with Fire Pledge, will create a rainbow which doubles the changes of moves having Seconday Effects for four turns. The power is increased to 150
This move, if used in Double/Triple Battles with Grass Pledge, will create a marsh which reduces the speed of all opponents by 75% for four turns.  The power is increased to 150",0.0417,0
Water Pulse,water,special,20,60,100,May induce Confusion,0.0417,0
Waterfall,water,physical,15,80,100,May cause opponent to flinch.,0.0417,0
Wave Crash,water,physical,10,120,100,User receives 1/3rd of damage in re-coil.,0.0417,0
Weather Ball,normal,special,10,50,100,"This move changes type based on the weather. In Sun it's Fire-type, in Rain it's Water-type, in Hail it's Ice-type and in Sandstorms it's Rock-type. When Dynamaxed, the Max Move also changes type accordingly so in Sun it summons Max Flare, Rain it is Max Geyser, Snow it's Max Hailstorm and Sandstorm it's Max Rockfall.",0.0417,0
Whirlpool,water,special,15,35,85,Traps the opponent for 4 to 5 turns,0.0417,0
Whirlwind,normal,other,20,0,101,Ends wild battles. ,0.0,-6
Wide Guard,rock,other,10,0,101,"Wide Guard protects against specific moves, specifically moves which have more than one target such as Surf & Earthquake. In addition to protecting the user, it protects all of the user's allies in battle for that turn.This effect doesn't just correspond to moves used by the opponent, but it also protects allies from damage from moves by other allies which would inadvertantly damage them, such as Surf which hits all neighbouring Pokémon.There are a few moves however, that it doesn't protect against; Clear Smog, Haze & Perish Song",0.0,3
Wild Charge,electric,physical,15,90,100,User takes recoil damage equal to 25% of the damage inflicted.,0.0417,0
Will-O-Wisp,fire,other,15,0,85,Induces burn.,0.0,0
Wing Attack,flying,physical,35,60,100,No effect.,0.0417,0
Wish,normal,other,10,0,101,"In 1 turn, it heals whatever Pokémon is in this position on the field's Hit Points by 50% of the maximum Hit Points.",0.0,0
Work Up,normal,other,30,0,101,Raises user's Attack & Special Attack one stage.,0.0,0
Worry Seed,grass,other,10,0,100,Changes the opponent's ability to Insomnia,0.0,0
Wrap,normal,physical,20,15,90,Traps opponent.,0.0417,0
X-Scissor,bug,physical,15,80,100,No effect.,0.0417,0
Yawn,normal,other,10,0,101,Target falls asleep during the next turn.,0.0,0
Zap Cannon,electric,special,5,120,50,May induce paralysis.,0.0417,0
Zen Headbutt,psychic,physical,15,80,90,May cause opponent to flinch.,0.0417,0
